Vertice = x,y         Arco = x1,y1,x2,y2,distancia
40,2
-4,56
153,119
201,62
111,171
69,223
12,277
71,374
28,435
150,353
187,301
228,247
279,202
340,164
399,126
251,7
454,92
506,59
566,3
814,82
770,137
856,33
538,101
511,147
474,206
428,273
385,326
314,258
181,436
343,386
386,421
430,459
360,458
287,459
83,450
-11,343
-12,127
536,458
512,438
560,379
610,320
660,264
715,199
895,309
846,378
801,442
955,237
985,175
983,100
784,-12
663,-13
356,-13
451,-11
982,441
985,342
662,458
892,-12
-12,419
13,461
221,460
-14,297
113,404
603,26
587,54
-1,-13
214,-14
14,2,55,17,43
55,17,216,77,171
11,71,55,17,69
11,71,168,134,169
168,134,216,77,74
216,77,266,22,74
229,1,266,22,42
266,22,414,141,189
371,2,469,107,143
414,141,469,107,64
469,107,521,74,61
466,4,521,74,89
521,74,581,18,82
581,18,618,41,43
618,41,602,69,32
553,116,521,74,52
469,107,526,162,79
526,162,553,116,53
3,142,126,186,130
216,77,355,179,172
355,179,414,141,70
168,134,294,217,150
168,134,126,186,66
126,186,243,262,139
294,217,243,262,68
84,238,126,186,66
84,238,202,316,141
202,316,243,262,67
165,368,202,316,63
165,368,27,292,157
27,292,84,238,78
27,292,1,312,32
4,358,86,389,87
86,389,128,419,51
128,419,165,368,63
3,434,43,450,43
28,476,43,450,30
43,450,86,389,74
98,465,128,419,54
128,419,196,451,75
196,451,236,475,46
196,451,329,273,222
294,217,329,273,66
329,273,400,341,98
358,401,302,474,92
358,401,400,341,73
358,401,401,436,55
401,436,375,473,45
401,436,445,474,58
400,341,527,453,169
527,453,551,473,31
677,473,575,394,129
575,394,527,453,76
575,394,443,288,169
443,288,489,221,81
489,221,625,335,177
625,335,575,394,77
625,335,816,457,226
355,179,294,217,71
355,179,443,288,140
414,141,489,221,109
526,162,489,221,69
400,341,443,288,68
526,162,675,279,189
675,279,625,335,75
553,116,730,214,202
602,69,618,41,32
618,41,785,152,200
785,152,730,214,82
730,214,675,279,85
675,279,861,393,218
861,393,910,324,84
861,393,816,457,78
730,214,910,324,210
785,152,970,252,210
910,324,970,252,93
910,324,1000,357,95
861,393,997,456,149
970,252,1000,190,68
829,97,1000,190,194
785,152,829,97,70
678,2,829,97,178
799,3,871,48,84
829,97,871,48,64
907,3,871,48,57
871,48,998,115,143
